Company Name,Share Price,Sector,ISIN,Special Comment,Source,ETL Date
Anugraha Valve Castings Unlisted Shares,₹ 280,Castings,INE629Z01015,Strong fundamentals,bsus,2024-05-18
ACS Technologies Unlisted Shares,₹ 48,IT,INE07ZN01014,IPO soon,bsus,2024-05-18
API Holdings (PharmEasy),₹ 9.5,e-pharmacy,INE0DJ201029,IPO soon. Best startup fintech,bsus,2024-05-18
Arohan Financial Services Unlisted SharesDRHP Filed,₹ 225,NBFC MFI,INE808K01017,DRHP Filed. IPO soon,bsus,2024-05-18
B9 Beverages (Bira 91) Unlisted Shares,₹ 600,Liquor,INE833U01014,Strong brand value,bsus,2024-05-18
Bharat Nidhi (Bharat Bank) Unlisted Shares,"₹ 13,250",NBFC Hold Co,INE286F01016,Holding stake in Times Group,bsus,2024-05-18
BLSX Limited Unlisted Shares,₹ 20,Engineering,INE0MDG01016,,bsus,2024-05-18
boAt (Imagine Marketing) Unlisted Shares,"₹ 1,350",cons electronics,INE03AV01027,IPO soon,bsus,2024-05-18
BVG India (Bharat Vikas Group) Unlisted Shares,₹ 225,Integrated Serv,INE257H01013,IPO soon,bsus,2024-05-18
Bharat Hotels Unlisted Shares,₹ 325,Hotels,INE466A01015,Operates Lalit chain of hotels + IPO soon,bsus,2024-05-18
Capital Small Finance Bank Unlisted SharesDRHP Filed,"Now listed BSE, NSE",Small Fin Bank,INE646H01017,DRHP Filed. IPO soon,bsus,2024-05-18
Care Health Insurance Unlisted Shares,₹ 175,Health Insurance,INE119J01011,Health insurance company,bsus,2024-05-18
Carrier AirCon Refrigeration Unlisted Shares,₹ 515,Air-conditioning,INE040I01011,"Debt free, high dividend yield",bsus,2024-05-18
Chennai Super Kings (CSK) Unlisted Shares,₹ 180,Cricket team,INE852S01026,"IPL Franchise, brand value",bsus,2024-05-18
Cochin International Airport Unlisted Shares,₹ 280,Airport,INE02KH01019,PPP profitable infra company,bsus,2024-05-18
Desi Tea Time Unlisted Shares,₹ 48 - 50,Foods & Bev,,,bsus,2024-05-18
ESDS Software Solution Unlisted Shares,₹ 210,Cloud solutions,INE0DRI01011,IPO soon,bsus,2024-05-18
ESL Steel Unlisted  Shares,₹ 36,Steel,INE481K01021,Vedanta group. Strong financials,bsus,2024-05-18
FINO PayTech Unlisted Shares,₹ 160,Payments bank,INE511I01011,Financial inclusion boost,bsus,2024-05-18
Frick India Unlisted Shares,"₹ 15,000",Ind Refrigeration,INE499C01012,"Undervalued stock, land bank",bsus,2024-05-18
Gandhar Oil Unlisted Shares,"Now listed BSE, NSE",Oil Refinery,INE717W01049,"Fundamentals strong, IPO soon",bsus,2024-05-18
HDB Financial Services Unlisted Shares,₹ 975,NBFC,INE756I01012,HDFC Bank subsidiary + IPO soon,bsus,2024-05-18
HDFC Securities Unlisted Shares,"₹ 10,750",Brokerage,INE700G01014,HDFC subsidiary + IPO soon,bsus,2024-05-18
Hero FinCorp Unlisted Shares,"₹ 1,6625",NBFC,INE957N01016,Hero group + IPO soon,bsus,2024-05-18
Hexaware Unlisted Shares,₹ 925,Software,INE093A01033,Undervalued IT company,bsus,2024-05-18
Indian Comm Exch (ICEX) Unlisted Shares,₹ 4.50,Exchange,INE678L01012,"3rd commodity exchange after MCX, NCDEX",bsus,2024-05-18
Indofil Industries Unlisted Shares,₹ 700,Agrochemicals,INE071I01016,"Strong government focus, agrochemical sector",bsus,2024-05-18
INKEL Unlisted Shares(New Arrival),₹ 20,Infrastructure,INE308U01017,Small-cap emerging infra co,bsus,2024-05-18
Ixigo (Le Travenues Tech) Unlisted Shares,₹ 145,Travel portal,INE0HV901016,IPO soon. Travel startup,bsus,2024-05-18
Kannur International Airport Unlisted Shares,₹ 120,Airport,INE02Y401013,PPP Infra Company,bsus,2024-05-18
KLM Axiva Finvest Unlisted Shares(New),₹ 15,NBFC,INE01I501011,South based NBFC,bsus,2024-05-18
Kurlon Ltd Unlisted Shares,₹ 650,Holding co,INE781F01032,Kurlon brand premium,bsus,2024-05-18
Kurlon Enterprises Unlisted Shares,₹ 610,Mattress maker,INE387W01025,Superbrand consumption boom. IPO soon,bsus,2024-05-18
Lava International Unlisted Shares,₹ 72,Cons electronics,INE745X01014,PLI scheme. contract manufacturer,bsus,2024-05-18
Madbow Ventures (New Arrival),₹ 50 - 55,Cons platform,INE0JKD01014,fashion and lifestyle brand,bsus,2024-05-18
Market Simplified India Unlisted Shares,₹ 43,Software,INE931L01015,Software,bsus,2024-05-18
Mayasheel Retail India Unlisted Shares,₹ 25,Retail,INE03NO01017,Fast growing retail company,bsus,2024-05-18
Merino Industries Unlisted Shares,₹ 3250,Laminates,INE662B01017,Highly profitable company,bsus,2024-05-18
MKCL,₹ 425,IT education,INE03KR01016,cash rich + debt free e learning,bsus,2024-05-18
Metropolitan Stock(MSEI) Unlisted Shares,₹ 1.18,Stock exchange,INE312K01010,"3rd functional stock exchange after BSE, NSE",bsus,2024-05-18
Mohan Meakin Unlisted Shares,₹ 1875,Liquor,INE136D01018,"Old monk maker, listing soon",bsus,2024-05-18
Motilal Home Finance Unlisted Shares,₹ 13,Home Finance,INE658R01011,Motilal Oswal group housing finance co,bsus,2024-05-18
Nayara Energy (Essar Oil) Unlisted Shares,₹ 415,Refinery,INE011A01019,Russian oil major owned oil firm,bsus,2024-05-18
National Stock Exch(NSE) Unlisted Shares,"₹ 4,500",Stock Exchange,INE721I01024,World's leading stock exchange. IPO soon,bsus,2024-05-18
NSDL Unlisted Shares,Not Available,Depository,,DRHP Filed. IPO soon,bsus,2024-05-18
One MobiKwik Systems Unlisted SharesDRHP Filed,₹ 575,digital wallet,INE0HLU01028,DRHP Filed. IPO soon,bsus,2024-05-18
Oyo Unlisted Shares/ Oravel StaysDRHP Filed,₹ 40,Hotel chain,INE130H01012,World's 3rd largest hotel chain. DRHP Filed. IPO soon,bsus,2024-05-18
Oyo Unlisted SharesDRHP Filed,Buyback completed,Retail,INE742O01010,RIL group organised retail giant,bsus,2024-05-18
SBI Funds Management Unlisted Shares(New),"₹ 1,625",AMC,INE640G01020,leading AMC. IPO Soon,bsus,2024-05-18
SBI Home Finance Unlisted Shares,₹ 35,Home Loans,INE627A01012,Home Loans,bsus,2024-05-18
Skinbook Laboratories Unlisted Shares (New),₹ 38,Cosmetics,INE0Q2O01017,Cosmetics,bsus,2024-05-18
Sterlite Power Transm Unlisted Shares,₹ 535,Infrastructure,INE110V01015,Cheapest power infrastructure stock,bsus,2024-05-18
Studds Accessories Unlisted Shares,₹ 850,Helmet maker,INE00Q601028,World’s largest helmet maker. IPO soon,bsus,2024-05-18
Tata Capital Unlisted Shares,₹ 845,NBFC,INE976I01016,Tata group leading financial firm,bsus,2024-05-18
Tata Technologies Unlisted Shares,"Now listed NSE, BSE",Technology,INE142M01017,Tata group engineering co. IPO soon,bsus,2024-05-18
TRL Krosaki Refractories Unlisted Shares,"₹ 1,250",Refractories,INE012L01014,"No 1 Refractory, strong fundamentals",bsus,2024-05-18
Urban Tots Unlisted Shares,₹ 70,Housewares,INE0MQ801018,Toys exporter,bsus,2024-05-18
Utkarsh Microfinance Unlisted Shares,₹ 290,Small Fin Bank,INE396P01012,Financial inclusion beneficiary + IPO soon,bsus,2024-05-18
Vikram Solar Unlisted Shares,₹ 210,Solar modules,INE078V01014,Renewable energy. DRHP Filed. IPO soon.,bsus,2024-05-18
Waaree Energies Unlisted SharesDRHP Filed,"₹ 1,890",Solar modules,INE377N01017,Renewable energy. DRHP Filed. IPO soon.,bsus,2024-05-18
SBI General Insurance Unlisted Shares(New),₹ 1200,Insurance,,,bsus,2024-05-18
Reliance General Insurance Unlisted Shares(New),₹ 485,Insurance,,,bsus,2024-05-18
VPS Lakeshore Hospital Unlisted Shares,₹ 85,Hospital,INE01TI01010,"Profitable, dividend paying multi-speciality hospital",bsus,2024-05-18
