Company Name,Price,Lot Size,Source,ETL Date
Five Star Business Finance Limited Unlisted Shares,520,100,ud,2024-05-17
Oravel Stays Limited (OYO) Unlisted Shares,-,1000,ud,2024-05-17
Tata Technologies Limited Unlisted Shares,-,50,ud,2024-05-17
API Holdings Limited (PharmEasy) Unlisted Shares,Best in Industry,1000,ud,2024-05-17
Hexaware Technologies Limited Unlisted Shares,Best In Industry,100,ud,2024-05-17
HDB Financial Services Unlisted Shares,Best In Industry,100,ud,2024-05-17
Fino Paytech Limited Unlisted Shares,Best in Industry,100,ud,2024-05-17
Motilal Oswal (Erstwhile Aspire) Home Finance Limited Unlisted Shares,Best in Industry,1000,ud,2024-05-17
Metropolitan Stock Exchange of India (MSEI) Limited Unlisted Shares,Best in Industry,10000,ud,2024-05-17
Indian Commodity Exchange Limited (ICEX) Unlisted Shares,Best in Industry,1000,ud,2024-05-17
Reliance Retail Limited Unlisted Shares,Best in Industry,100,ud,2024-05-17
HDFC Securities Limited Unlisted Shares,Best in Industry,10,ud,2024-05-17
Hero FinCorp Limited Unlisted Shares,Best in Industry,100,ud,2024-05-17
Care (Religare) Health Insurance Limited Unlisted Shares,Best in Industry,1000,ud,2024-05-17
Suryoday Small Finance Bank Limited Unlisted Shares,Best in Industry,100,ud,2024-05-17
Nazara Technologies Limited Unlisted Shares,Best in Industry,100,ud,2024-05-17
One97 Communications Limited- Paytm Unlisted Shares,Best in Industry,10,ud,2024-05-17
Studds Accessories Limited Unlisted Shares,Best in Industry,100,ud,2024-05-17
Chennai Super Kings Cricket Limited Unlisted Shares,Best in Industry,2500,ud,2024-05-17
Kurlon Enterprise Limited Unlisted Shares,Best in Industry,100,ud,2024-05-17
Utkarsh Coreinvest Limited Unlisted Shares,Best in Industry,100,ud,2024-05-17
Tamilnad Mercantile Bank Limited Unlisted Shares,Best in Industry,100,ud,2024-05-17
Kannur International Airport Limited Unlisted Shares,Best in Industry,100,ud,2024-05-17
Cochin International Airport Limited Unlisted Shares,Best in Industry,100,ud,2024-05-17
NCL Buildtek Limited Unlisted Shares,Best in Industry,100,ud,2024-05-17
Sterlite Power Transmission Limited Unlisted Shares,Best in Industry,500,ud,2024-05-17
Indofil Industries Limited Unlisted Shares,Best in Industry,100,ud,2024-05-17
National Stock Exchange of India Limited Unlisted Shares,-,2000,ud,2024-05-17
Mohan Meakin Limited Unlisted Shares,Best in Industry,100,ud,2024-05-17
Carrier Airconditioning & Refrigeration Limited Unlisted Shares,Best in Industry,100,ud,2024-05-17
Nayara Energy Limited (Formerly Essar oil) Unlisted Shares,Best in Industry,100,ud,2024-05-17
Capital Small Finance Bank Limited Unlisted Shares,Best in Industry,100,ud,2024-05-17
UTI AMC Limited Unlisted Shares,Best in Industry,50,ud,2024-05-17
