Company Name,Price,Lot Size,Source,ETL Date
Five Star Business Finance Limited Unlisted Shares,520,100,ud,2023-09-09
Oravel Stays Limited (OYO) Unlisted Shares,-,1000,ud,2023-09-09
Tata Technologies Limited Unlisted Shares,-,50,ud,2023-09-09
API Holdings Limited (PharmEasy) Unlisted Shares,Best in Industry,1000,ud,2023-09-09
Hexaware Technologies Limited Unlisted Shares,Best In Industry,100,ud,2023-09-09
HDB Financial Services Unlisted Shares,Best In Industry,100,ud,2023-09-09
Fino Paytech Limited Unlisted Shares,Best in Industry,100,ud,2023-09-09
Motilal Oswal (Erstwhile Aspire) Home Finance Limited Unlisted Shares,Best in Industry,1000,ud,2023-09-09
Metropolitan Stock Exchange of India (MSEI) Limited Unlisted Shares,Best in Industry,10000,ud,2023-09-09
Indian Commodity Exchange Limited (ICEX) Unlisted Shares,Best in Industry,1000,ud,2023-09-09
Reliance Retail Limited Unlisted Shares,Best in Industry,100,ud,2023-09-09
HDFC Securities Limited Unlisted Shares,Best in Industry,10,ud,2023-09-09
Hero FinCorp Limited Unlisted Shares,Best in Industry,100,ud,2023-09-09
Care (Religare) Health Insurance Limited Unlisted Shares,Best in Industry,1000,ud,2023-09-09
Suryoday Small Finance Bank Limited Unlisted Shares,Best in Industry,100,ud,2023-09-09
Nazara Technologies Limited Unlisted Shares,Best in Industry,100,ud,2023-09-09
One97 Communications Limited- Paytm Unlisted Shares,Best in Industry,10,ud,2023-09-09
Studds Accessories Limited Unlisted Shares,Best in Industry,100,ud,2023-09-09
Chennai Super Kings Cricket Limited Unlisted Shares,Best in Industry,2500,ud,2023-09-09
Kurlon Enterprise Limited Unlisted Shares,Best in Industry,100,ud,2023-09-09
Utkarsh Coreinvest Limited Unlisted Shares,Best in Industry,100,ud,2023-09-09
Tamilnad Mercantile Bank Limited Unlisted Shares,Best in Industry,100,ud,2023-09-09
Kannur International Airport Limited Unlisted Shares,Best in Industry,100,ud,2023-09-09
Cochin International Airport Limited Unlisted Shares,Best in Industry,100,ud,2023-09-09
NCL Buildtek Limited Unlisted Shares,Best in Industry,100,ud,2023-09-09
Sterlite Power Transmission Limited Unlisted Shares,Best in Industry,500,ud,2023-09-09
Indofil Industries Limited Unlisted Shares,Best in Industry,100,ud,2023-09-09
National Stock Exchange of India Limited Unlisted Shares,-,2000,ud,2023-09-09
Mohan Meakin Limited Unlisted Shares,Best in Industry,100,ud,2023-09-09
Carrier Airconditioning & Refrigeration Limited Unlisted Shares,Best in Industry,100,ud,2023-09-09
Nayara Energy Limited (Formerly Essar oil) Unlisted Shares,Best in Industry,100,ud,2023-09-09
Capital Small Finance Bank Limited Unlisted Shares,Best in Industry,100,ud,2023-09-09
UTI AMC Limited Unlisted Shares,Best in Industry,50,ud,2023-09-09
