Company Name,Price,Sell Price,Lot Size,ISIN,Source,ETL Date
BLSX LIMITED,20,30,100,INE0MDG01016,usb,2023-09-10
Indian Commodity Exchange Limited (ICEX),3,6,100,INE678L01012,usb,2023-09-10
ORBIS FINANCIAL CORPORATION LTD.,80,100,100,INE155K01013,usb,2023-09-10
ORAVEL STAYS LIMITED (OYO),55,68,100,INE561T01021,usb,2023-09-10
IMAGINE MARKETING LIMITED (BOAT),850,950,100,INE03AV01027,usb,2023-09-10
COCHIN INTERNATIONAL AIRPORT LIMITED,169,185,100,INE02KH01019,usb,2023-09-10
KANNUR INTERNATIONAL AIRPORT LIMITED,100,115,100,INE02Y401013,usb,2023-09-10
PHARMED LIMITED,500,700,100,INE0EEI01017,usb,2023-09-10
MARKET SIMPLIFIED INDIA LIMITED,52,63,100,INE931L01015,usb,2023-09-10
Signify Innovations India Limited Unlisted Shares,1300,1500,100,INE045U01015,usb,2023-09-10
Philips Domestic Appliances India Limited Unlisted Shares,500,600,100,INE0FO801019,usb,2023-09-10
HDB Financial Services Limited Unlisted Shares,650,700,100,INE756I01012,usb,2023-09-10
Indofil Industries Limited Unlisted Shares,600,700,100,INE071I01016,usb,2023-09-10
Merino Industries Ltd Unlisted Shares,2700,2800,100,INE662B01017,usb,2023-09-10
HDFC Securities Unlisted Shares,10500,11500,100,INE700G01014,usb,2023-09-10
MAXVALUE CREDITS AND INVESTMENTS LIMITED,5,7,,INE040401023,usb,2023-09-10
Capgemini Technology Services India Limited Unlisted Shares,9800,11000,,INE177B01032,usb,2023-09-10
Philips India Limited Unlisted Shares,900,1100,100,INE319A01016,usb,2023-09-10
Reliance Retail Limited Unlisted Shares,0.00,0.00,,INE742O01010,usb,2023-09-10
Sterlite Power Transmission Limited Unlisted Shares,600,650,,INE110V01015,usb,2023-09-10
Care Health (Religare Health) Insurance Limited Unlisted Shares,155,170,,INE119J01011,usb,2023-09-10
Chennai Super Kings Cricket Limited Unlisted Shares,155,170,100,INE852S01026,usb,2023-09-10
Mohan Meakin Limited Unlisted Shares,1500,1700,100,INE136D01018,usb,2023-09-10
National Stock Exchange of India Limited (NSE),3100,3300,100,,usb,2023-09-10
G G Automotive Gears Limited Unlisted Shares,25,35,100,INE493B01017,usb,2023-09-10
Spencer & Company Limited,700,900,100,IN9766E01018,usb,2023-09-10
Lakeshore Hospital & Research Centre Limited,55,70,100,INE01TI01010,usb,2023-09-10
Fincare Business Services Limited,80,92,100,INE957R01025,usb,2023-09-10
Ring Plus Aqua Limited,350,425,100,INE093H01012,usb,2023-09-10
India Exposition Mart Limited,100,150,100,INE01JH01013,usb,2023-09-10
API Holdings Limited (PharmEasy),8,12,100,INE0DJ201029,usb,2023-09-10
AGS Transact Technologies Limited,150,200,100,INE583L01014,usb,2023-09-10
MINOSHA INDIA LIMITED,0,0,100,INE291B01023,usb,2023-09-10
Hexaware Technologies Limited,575,650,100,INE093A01033,usb,2023-09-10
Hindustan Times Unlisted Shares,600,750,25,INE946D01010,usb,2023-09-10
One Mobikwik Systems Limited unlisted share,250,350,100,INE0HLU01028,usb,2023-09-10
SBI HOME FINANCE LIMITED,60,75,,INE627A01012,usb,2023-09-10
NCL Holdings (A&S) Limited,55,70,100,INE06DT01010,usb,2023-09-10
Shriram Life Insurance Company Limited,325,390,100,INE227H01016,usb,2023-09-10
Schneider Electric President Systems Ltd.,150,290,,INE155D01018,usb,2023-09-10
Hicks Thermometers (India) Limited,1400,1600,100,INE923S01017,usb,2023-09-10
LAVA International Limited Unlisted Shares,80,120,,INE745X01014,usb,2023-09-10
Silverline Technologies Limited,4,7,100,INE368A01021,usb,2023-09-10
Inkel Limited Unlisted Shares,9,14,,INE308U01017,usb,2023-09-10
ESL Steel limited Unlisted Shares,30,40,,INE481K01021,usb,2023-09-10
Maharashtra Knowledge Corporation Limited Unlisted Shares,250,350,,INE03KR01016,usb,2023-09-10
C&S Electric Limited Unlisted Shares,490,600,,INE052F01012,usb,2023-09-10
Anugraha Valve Castings Limited Unlisted Shares,230,300,,INE629Z01015,usb,2023-09-10
Empire Spices and Foods Limited Unlisted Shares,300,400,,INE041101010,usb,2023-09-10
Elofic Industries Limited Unlisted Shares,2200,2600,,INE02YY01015,usb,2023-09-10
Inox Leasing & Finance ltd Unlisted Shares,2100,2500,,INE608E01014,usb,2023-09-10
Motilal Oswal Home Finance Ltd Unlisted Shares,7,10,,INE658R01011,usb,2023-09-10
B9 Beverages Bira Beer Unlisted Shares,550,625,,INE833U01014,usb,2023-09-10
Utkarsh Micro Finance Ltd Unlisted Shares,100,190,,INE396P07076,usb,2023-09-10
Capital Small Finance Bank Unlisted Shares,325,400,100,INE646H08020,usb,2023-09-10
Anheuser Busch Inbev I Ltd Unlisted shares,250,400,100,BE0974293251,usb,2023-09-10
Nayara Energy Ltd Unlisted Shares,200,250,100,INE011A01019,usb,2023-09-10
Assam Carbon Products Ltd Unlisted Shares,170,250,,INE496C01018,usb,2023-09-10
India Carbon Ltd Unlisted Shares,900,1100,100,INE743B01015,usb,2023-09-10
Top Five Company Shares,,,,,usb,2023-09-10
Mohindra Fasteners Unlisted Shares,140,225,,INE705H01011,usb,2023-09-10
Amol Minechem Limited Unlisted Shares,550,650,,INE404C01012,usb,2023-09-10
Bharat Nidhi Limited Unlisted Shares,9000,11500,100,INE286F01016,usb,2023-09-10
Aricent Technologies Limited Unlisted Shares,550,650,100,INE272I01010,usb,2023-09-10
Kurlon Limited Unlisted Shares,460,550,100,INE781F01032,usb,2023-09-10
AV Thomas Co Unlisted Shares,15000,18000,100,,usb,2023-09-10
Camac Commercial Company Limited Unlisted Shares,30000,40000,100,INE227E01013,usb,2023-09-10
Carrier Airconditioning and Refrigeration Ltd. Unlisted Shares,240,300,100,INE040I01011,usb,2023-09-10
T Stanes & Co Unlisted Shares,700,800,100,INE420F01011,usb,2023-09-10
Resins and Plastics Limited Unlisted Shares,300,375,100,INE422F01017,usb,2023-09-10
Otis Elevator Company (I) Limited Unlisted Shares,3200,4000,100,INE099A01014,usb,2023-09-10
Dalmia Refractories Unlisted Shares,100,170,100,INE200F01017,usb,2023-09-10
Frick India Limited Unlisted Shares,6000,6500,100,INE499C01012,usb,2023-09-10
Hero Fincorp Limited Unlisted Shares,1100,1200,100,INE957N01016,usb,2023-09-10
Elcid Investments Limited Unlisted Shares,120000,140000,100,INE927X01018,usb,2023-09-10
PNB Finance Unlisted Shares,6000,7000,100,INE057F01011,usb,2023-09-10
Merind Limited Unlisted Shares,200,350,100,INE215A01016,usb,2023-09-10
Metropolitan Stock Exchange Unlisted Shares,0.70,1.00,1000,INE312K01010,usb,2023-09-10
Tata Technologies Unlisted Shares,800,900,100,INE142M01017,usb,2023-09-10
Fino Paytech Unlisted Shares,100,150,100,INE511I01011,usb,2023-09-10
Kurlon Enterprises Limited Unlisted Shares,600,700,100,INE781F01032,usb,2023-09-10
Studds Accessories Limited Unlisted Shares,800,900,100,INE00Q601028,usb,2023-09-10
Ramaraju Surgical Unlisted Shares,680,740,100,INE328E01027,usb,2023-09-10
Bharat Hotels Limited Unlisted Shares,150,200,100,INE466A01015,usb,2023-09-10
NCL Buildtek Limited Unlisted Shares,200,250,100,INE243S01010,usb,2023-09-10
Anand Projects Limited Unlisted Shares,150,250,100,INE134R01013,usb,2023-09-10
Digvijay Finlease Limited Unlisted Shares,1500,1900,100,INE01US01017,usb,2023-09-10
shares,,,,,usb,2023-09-10
