Company Name,Price,Lot Size,Source,ETL Date
A V Thomas & Co. Limited Unlisted Shares, ₹ 12500,10 Shares,uzs,2023-09-13
Accentia Technologies Limited Unlisted Shares,-,-,uzs,2023-09-13
ACS Technologies Limited Unlisted Shares, ₹ 46,250 Shares,uzs,2023-09-13
Adtech Systems Limited Unlisted Shares, ₹ 46,250 Shares,uzs,2023-09-13
AGS Transact Technologies Unlisted Shares, ₹ 205,100 Shares,uzs,2023-09-13
Ahmedabad Stock Exchange Unlisted Shares, ₹ 55,250 Shares,uzs,2023-09-13
Amalgamations Repco Limited Unlisted Shares,-,-,uzs,2023-09-13
Amol Minechem (Earlier Amol Dicalite) Limited Unlisted Shares,-,-,uzs,2023-09-13
Anand Rathi Wealth Services Unlisted Shares (Listed on Exchanges),-,-,uzs,2023-09-13
Anglo-French Drugs & Industries Ltd Unlisted Shares,-,-,uzs,2023-09-13
Anheuser Busch Inbev (Sabmiller) India Limited Unlisted Shares, ₹ 425,100 Shares,uzs,2023-09-13
Anugraha Valve Castings Limited Unlisted Shares, ₹ 325,50 Shares,uzs,2023-09-13
APL Metals Unlisted Shares,-,-,uzs,2023-09-13
Aptus Value Housing Finance India Unlisted Shares,-,-,uzs,2023-09-13
Aricent Technologies (Holdings) Limited Unlisted Shares, ₹ 575,50 Shares,uzs,2023-09-13
Arohan Financial Services Unlisted Shares, ₹ 178,100 Shares,uzs,2023-09-13
Arthmate Unlisted CCD,-,-,uzs,2023-09-13
Assam Carbon Products Limited Unlisted Shares, ₹ 225,50 Shares,uzs,2023-09-13
Asscher Enterprises Limited Unlisted Shares, ₹ Best in Industry,100 Shares,uzs,2023-09-13
Atlas Copco (India) Limited Unlisted Shares,-,-,uzs,2023-09-13
Auckland International Limited Unlisted Shares, ₹ 189,100 Shares,uzs,2023-09-13
Axles India Limited Unlisted Shares,-,-,uzs,2023-09-13
Badra Estates & Industries Limited Unlisted Shares, ₹ 1258,25 Shares,uzs,2023-09-13
Bagrrys India Limited Unlisted Shares, ₹ 2219,25 Shares,uzs,2023-09-13
Barbeque Nation Limited Unlisted Shares,-,-,uzs,2023-09-13
Bazar India Unlisted Shares, ₹ 40,500 Shares,uzs,2023-09-13
Bellary Steel and Alloys Limited Unlisted Shares, ₹ 1,10000 Shares,uzs,2023-09-13
Berar Finance Limited Unlisted Shares Price,-,-,uzs,2023-09-13
Bharat Hotels Unlisted Shares, ₹ 265,100 Shares,uzs,2023-09-13
Bharat Nidhi (Bharat Bank) Unlisted Shares, ₹ 10000,25 Shares,uzs,2023-09-13
Bharti Telecom Limited Unlisted Shares,-,-,uzs,2023-09-13
Bhatkawa Tea Industries Limited Unlisted Shares,-,-,uzs,2023-09-13
Bikaji Foods International Ltd. Unlisted Share, ₹ 395,50 Shares,uzs,2023-09-13
