Script Name,Category,Sector,Price (in rupees),Market Cap (in crores)
Reliance Retail Limited,Unlisted,Retail,"1,275.00","1,188,386.002"
Flipkart India Private Limited,Unlisted,eCommerce,"231,001.00","283,928.180"
National Stock Exchange of India Limited,Unlisted,Financial Service,"3,300.00","163,350.000"
Tata Capital Limited,Unlisted,Investment & Holding,430.00,"153,085.153"
Capgemini Technology Services India Limited,Delisted,"IT, Software","10,100.00","59,864.009"
Bundl Technologies Private Limited,Unlisted,Food Delivery,361.00,"59,315.077"
SBI Funds Management Limited,Unlisted,Financial Service,"1,050.00","52,837.490"
HDB Financial Services Limited,Unlisted,Financial Service,660.00,"52,232.339"
Oravel Stays Limited,Pre IPO,eCommerce,67.00,"40,404.537"
Nayara Energy Limited,Delisted,"Energy, Oil & Gas",270.00,"40,245.151"
Tata Technologies Limited,Pre IPO,"IT, Software",850.00,"34,481.825"
Go Digit,Unlisted,General Insurance,354.00,"30,940.233"
HDFC Ergo General Insurance Company Limited,Unlisted,Health Insurance,370.00,"26,440.792"
Anheuser Busch Inbev India Limited,Delisted,Breweries & Distilleries,365.00,"22,505.093"
Atlas Copco India Private Limited,Delisted,Equipment,"10,000.00","21,871.393"
Hexaware Technologies Limited,Delisted,"IT, Software",595.00,"18,101.396"
Waaree Energies Limited,Pre IPO,Renewable Energy,725.00,"17,644.040"
HDFC Securities Limited,Unlisted,Financial Service,"11,100.00","17,643.006"
Shriram General Insurance Co Limited,Unlisted,General Insurance,630.00,"16,327.253"
Care Health Insurance Limited,Unlisted,Health Insurance,172.00,"16,206.366"
Hero FinCorp Limited,Unlisted,Financial Service,"1,160.00","14,767.574"
PNB Metlife India Insurance Company Limited,Unlisted,Life Insurance,70.00,"14,090.190"
National Securities Depository Limited,Pre IPO,Financial Service,700.00,"14,000.000"
SBI General Insurance Company Ltd,Unlisted,General Insurance,569.00,"12,387.996"
Vikram Solar Limited,Pre IPO,Renewable Energy,350.00,"9,059.050"
Imagine Marketing Limited,Pre IPO,Consumer Durable,890.00,"8,546.697"
Reliance General Insurance Company Limited,Unlisted,General Insurance,333.00,"8,437.084"
Acevector Limited,Unlisted,eCommerce,200.00,"7,946.118"
Signify Innovations India Limited,Unlisted,Consumer Durable,"1,375.00","7,908.621"
Cochin International Airport Limited,Unlisted,Airport,180.00,"6,886.345"
Chennai Super Kings Cricket Limited,Unlisted,Sports Franchisee,165.00,"6,260.513"
API Holdings Ltd,Pre IPO,eCommerce,10.00,"6,142.041"
Motilal Oswal Home Finance Limited,Unlisted,Financial Service,9.25,"5,580.938"
ESL Steel Limited,Delisted,"Metal, Steel & Iron",29.90,"5,528.600"
Lava International Limited,Pre IPO,Consumer Durable,90.00,"5,179.192"
Philips India Limited,Delisted,Healthcare,875.00,"5,032.759"
Shriram Life Insurance Company Limited,Unlisted,Life Insurance,261.00,"4,681.688"
Otis Elevator Company India Limited,Delisted,Machinery,"3,750.00","4,428.083"
Incred Financial Services Limited,Unlisted,Financial Service,100.00,"3,881.337"
Indian Potash Limited,Unlisted,Fertilisers,"1,300.00","3,717.636"
Sterlite Power Transmission Limited,Unlisted,Power & Electricity,605.00,"3,701.390"
LE Travenues Technology Limited,Pre IPO,Tours & Travels,94.00,"3,475.650"
Merino Industries Limited,Unlisted,Plywood & Laminates,"3,100.00","3,465.390"
Versuni India Home Solutions Limited,Unlisted,Consumer Durable,590.00,"3,393.517"
Polymatech Electronics Limited,Unlisted,Electricals,450.00,"3,234.429"
Carrier Airconditioning and Refrigeration Limited,Delisted,Airconditioning,300.00,"3,191.302"
Goa Shipyard Limited,Unlisted,Shipping,272.00,"3,166.182"
ELCID Investments Limited,Illiquid/unquoted,Financial Service,"150,999.00","3,019.980"
Fincare Small Finance Bank Limited,Unlisted,Financial Service,136.00,"3,002.604"
The Hindustan Times Limited,Unlisted,Media,730.00,"2,996.092"
Bharat Nidhi Limited,Unlisted,Other,"9,709.00","2,816.252"
BVG India Limited,Unlisted,Facility Management,"1,020.00","2,717.770"
Camac Commercial Company Limited,Illiquid/unquoted,Real Estate,"28,800.00","2,542.464"
TRL Krosaki Refractories Limited,Unlisted,"Metal, Steel & Iron","1,200.00","2,508.000"
B9 Beverages Limited,Unlisted,Breweries & Distilleries,590.00,"2,438.475"
C and S Electric Limited,Unlisted,Electric Equipment,550.00,"2,434.743"
DFM Foods Limited,Delisted,FMCG,467.00,"2,347.854"
Bofa Securities India Limited,Unlisted,Financial Service,"1,000.00","2,315.504"
Digvijay Finlease Limited,Unlisted,Financial Service,"1,600.00","2,121.507"
PNB Finance And Industries Limited,Unlisted,NBFC,"6,555.00","2,097.600"
Hutti Gold Mines Company Limited,Unlisted,Mining & Minerals,"70,700.00","2,094.162"
Kurlon Enterprise Limited,Unlisted,Consumer Durable,560.00,"2,046.927"
Paymate India Private Limited,Unlisted,Financial Service,350.00,"2,009.304"
Taparia Tools Limited,Illiquid/unquoted,Other,"1,313.00","1,992.970"
Inox Leasing And Finance Limited,Unlisted,Financial Service,"2,000.00","1,980.010"
Hotahoti Wood Products Limited,Illiquid/unquoted,Financial Service,990.00,"1,979.996"
Arohan Financial Services Limited,Unlisted,Financial Service,125.00,"1,977.227"
Utkarsh Coreinvest Limited,Unlisted,Financial Service,190.00,"1,872.121"
Fino PayTech Limited,Unlisted,Financial Service,140.00,"1,865.337"
Tongani Tea Company Limited,Unlisted,"Tea, Coffee & Plantation","1,000.00","1,857.750"
One Mobikwik Systems Limited,Pre IPO,Financial Service,320.00,"1,829.905"
Studds Accessories Limited,Unlisted,Safety Accessories,850.00,"1,672.520"
CTR Manufacturing Industries Private Limited,Unlisted,Electric Equipment,"90,000.00","1,594.710"
Bharat Hotels Limited,Delisted,Hotel or Catering,200.00,"1,519.824"
Fincare Business Services Limited,Unlisted,Financial Service,45.50,"1,500.363"
