Script Name,Category,Sector,Price (in rupees),Market Cap (in crores),Source,ETL Date
Flipkart India Private Limited,Unlisted,eCommerce,"231,001.00","283,928.180",wwipl,2023-09-09
National Stock Exchange of India Limited,Unlisted,Financial Service,"3,300.00","163,350.000",wwipl,2023-09-09
Tata Capital Limited,Unlisted,Investment & Holding,425.00,"151,305.093",wwipl,2023-09-09
Capgemini Technology Services India Limited,Delisted,"IT, Software","10,100.00","59,864.009",wwipl,2023-09-09
Bundl Technologies Private Limited,Unlisted,Food Delivery,361.00,"59,315.077",wwipl,2023-09-09
SBI Funds Management Limited,Unlisted,Financial Service,"1,055.00","53,089.097",wwipl,2023-09-09
HDB Financial Services Limited,Unlisted,Financial Service,655.00,"51,836.640",wwipl,2023-09-09
Oravel Stays Limited,Pre IPO,eCommerce,72.00,"43,620.480",wwipl,2023-09-09
Tata Technologies Limited,Pre IPO,"IT, Software",925.00,"37,524.339",wwipl,2023-09-09
Nayara Energy Limited,Delisted,"Energy, Oil & Gas",230.00,"34,282.907",wwipl,2023-09-09
Go Digit,Unlisted,General Insurance,354.00,"30,940.233",wwipl,2023-09-09
HDFC Ergo General Insurance Company Limited,Unlisted,Health Insurance,370.00,"26,440.792",wwipl,2023-09-09
Anheuser Busch Inbev India Limited,Delisted,Breweries & Distilleries,365.00,"22,505.093",wwipl,2023-09-09
Atlas Copco India Private Limited,Delisted,Equipment,"10,000.00","21,871.393",wwipl,2023-09-09
Roppen Transportation Services Pvt Ltd,Unlisted,Transport,"16,645.00","21,664.067",wwipl,2023-09-09
Hexaware Technologies Limited,Delisted,"IT, Software",580.00,"17,645.058",wwipl,2023-09-09
Waaree Energies Limited,Pre IPO,Renewable Energy,725.00,"17,644.040",wwipl,2023-09-09
HDFC Securities Limited,Unlisted,Financial Service,"11,100.00","17,643.006",wwipl,2023-09-09
Shriram General Insurance Co Limited,Unlisted,General Insurance,630.00,"16,327.253",wwipl,2023-09-09
Care Health Insurance Limited,Unlisted,Health Insurance,171.00,"16,112.143",wwipl,2023-09-09
Hero FinCorp Limited,Unlisted,Financial Service,"1,160.00","14,767.574",wwipl,2023-09-09
PNB Metlife India Insurance Company Limited,Unlisted,Life Insurance,70.00,"14,090.190",wwipl,2023-09-09
National Securities Depository Limited,Pre IPO,Financial Service,700.00,"14,000.000",wwipl,2023-09-09
SBI General Insurance Company Ltd,Unlisted,General Insurance,569.00,"12,387.996",wwipl,2023-09-09
Vikram Solar Limited,Pre IPO,Renewable Energy,350.00,"9,059.050",wwipl,2023-09-09
Imagine Marketing Limited,Pre IPO,Consumer Durable,890.00,"8,546.697",wwipl,2023-09-09
Reliance General Insurance Company Limited,Unlisted,General Insurance,333.00,"8,437.084",wwipl,2023-09-09
Acevector Limited,Unlisted,eCommerce,200.00,"7,946.118",wwipl,2023-09-09
Signify Innovations India Limited,Unlisted,Consumer Durable,"1,375.00","7,908.621",wwipl,2023-09-09
Cochin International Airport Limited,Unlisted,Airport,186.00,"7,115.890",wwipl,2023-09-09
Chennai Super Kings Cricket Limited,Unlisted,Sports Franchisee,169.00,"6,412.283",wwipl,2023-09-09
API Holdings Ltd,Pre IPO,eCommerce,9.80,"6,019.200",wwipl,2023-09-09
Motilal Oswal Home Finance Limited,Unlisted,Financial Service,9.25,"5,580.938",wwipl,2023-09-09
Lava International Limited,Pre IPO,Consumer Durable,90.00,"5,179.192",wwipl,2023-09-09
Philips India Limited,Delisted,Healthcare,875.00,"5,032.759",wwipl,2023-09-09
Shriram Life Insurance Company Limited,Unlisted,Life Insurance,261.00,"4,681.688",wwipl,2023-09-09
Otis Elevator Company India Ltd,Delisted,Machinery,"3,750.00","4,428.083",wwipl,2023-09-09
Paymate India Limited,Unlisted,Financial Service,360.00,"4,309.376",wwipl,2023-09-09
ESL Steel Limited,Delisted,"Metal, Steel & Iron",22.90,"4,234.279",wwipl,2023-09-09
Incred Financial Services Limited,Unlisted,Financial Service,100.00,"3,881.337",wwipl,2023-09-09
Indian Potash Limited,Unlisted,Fertilisers,"1,300.00","3,717.636",wwipl,2023-09-09
LE Travenues Technology Limited,Pre IPO,Tours & Travels,94.00,"3,588.320",wwipl,2023-09-09
Sterlite Power Transmission Limited,Unlisted,Power & Electricity,570.00,"3,487.260",wwipl,2023-09-09
